word_labels,sentence,biased_words,biased_labels,masked_sentence
"O,O,O,O,O,O,O,O,O,O,O,O,O",,,,;- Make formal and interpersonal interpretation;- Perform other related duties as assigned.
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O","The incumbent should be committed personwith strong knowledge and understanding of brand, UI and DigitalMarketing aspects.",committed,Behavioural Stereotypes,"The incumbent should be committed personwith strong knowledge and understanding of brand, UI and DigitalMarketing aspects."
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O",The incumbentshould be a quick learner who is committed to permanent professionalgrowth and is able to master new technologies.,committed,Behavioural Stereotypes,The incumbentshould be a quick learner who is committed to permanent professionalgrowth and is able to master new technologies.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","A full time (or part timesee following sentence)Administrative Assistant position available on an ambitious,goal-oriented environmental project.",,,"A full time (or part timesee following sentence)Administrative Assistant position available on an ambitious,goal-oriented environmental project."
"O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","They require a confident, well groomed and articulate individual with a real desire to succeed to work as a member of the sales team.","confident, well groomed","Behavioural Stereotypes, Behavioural Stereotypes, i-Behavioural Stereotypes","They require a confident, well groomed and articulate individual with a real desire to succeed to work as a member of the sales team."
"O,O,O,O,O,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O","You should be a selfmotivated, independent, detail oriented, responsible teamplayer and exhibit exceptional relationship management skills.","independent, responsible","Behavioural Stereotypes, Behavioural Stereotypes","You should be a selfmotivated, independent, detail oriented, responsible teamplayer and exhibit exceptional relationship management skills."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Our client is physically independent, therefore you be required to support on a mainly social level.",,,"Our client is physically independent, therefore you be required to support on a mainly social level."
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",You will work to set KPI s; however this is a very autonomous role where you can manage your own workload and success as you want to.,autonomous,Behavioural Stereotypes,You will work to set KPI s; however this is a very autonomous role where you can manage your own workload and success as you want to.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Fox Search Ltd is a specialist Recruitment to Recruitment agency and we advertise this position on behalf or a trusted client.,,,Fox Search Ltd is a specialist Recruitment to Recruitment agency and we advertise this position on behalf or a trusted client.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O","Applications are invited from employees who are energetic, able to communicate at all levels and who are ambitious.",ambitious.,Behavioural Stereotypes,"Applications are invited from employees who are energetic, able to communicate at all levels and who are ambitious."
